EquipmentID,Type,Status,Temperature,Pressure,Flowrate
EQ-0001,Heat Exchanger,Operational,163.1,12.6,233.4
EQ-0002,Reactor,Maintenance,170.3,18.1,67.8
EQ-0003,Pump,Operational,66.5,135.5,376.2
EQ-0004,Reactor,Operational,278.7,21.7,54.6
EQ-0005,Separator,Operational,82.6,18.7,181.7
EQ-0006,Pump,Operational,21.2,82.9,493.6
EQ-0007,Separator,Operational,55.9,14.0,173.5
EQ-0008,Reactor,Operational,225.3,34.6,134.2
EQ-0009,Separator,Error,64.6,6.3,257.1
EQ-0010,Reactor,Operational,273.3,11.7,113.3
EQ-0011,Separator,Operational,69.0,16.2,151.7
EQ-0012,Pump,Operational,41.7,93.2,484.7
EQ-0013,Reactor,Operational,329.8,44.3,132.9
EQ-0014,Pump,Error,52.7,90.3,251.1
EQ-0015,Reactor,Operational,190.4,26.4,137.5
EQ-0016,Heat Exchanger,Operational,139.8,39.7,346.6
EQ-0017,Pump,Operational,55.0,122.6,495.2
EQ-0018,Reactor,Operational,289.2,18.6,76.0
EQ-0019,Pump,Operational,24.4,93.5,397.8
EQ-0020,Separator,Operational,116.4,11.2,194.7
EQ-0021,Separator,Operational,111.9,14.6,257.1
EQ-0022,Pump,Operational,74.7,86.1,493.1
EQ-0023,Separator,Operational,122.4,6.3,276.4
EQ-0024,Reactor,Operational,197.9,23.4,122.5
EQ-0025,Reactor,Error,255.3,17.3,84.6
EQ-0026,Pump,Operational,24.7,128.1,465.5
EQ-0027,Heat Exchanger,Operational,105.4,18.5,185.5
EQ-0028,Separator,Operational,72.2,7.0,254.1
EQ-0029,Reactor,Operational,260.2,18.6,126.0
EQ-0030,Reactor,Offline,251.2,29.3,110.5
EQ-0031,Heat Exchanger,Operational,134.8,13.4,350.0
EQ-0032,Heat Exchanger,Operational,209.5,38.0,271.1
EQ-0033,Reactor,Maintenance,188.7,37.9,57.5
EQ-0034,Heat Exchanger,Operational,154.5,19.7,392.4
EQ-0035,Separator,Operational,96.5,17.9,224.4
EQ-0036,Separator,Operational,59.4,13.1,190.6
EQ-0037,Heat Exchanger,Operational,117.6,16.5,351.7
EQ-0038,Pump,Operational,65.4,96.4,226.8
EQ-0039,Pump,Operational,48.4,80.0,373.9
EQ-0040,Separator,Operational,124.6,19.5,271.2
EQ-0041,Heat Exchanger,Operational,119.0,24.0,218.0
EQ-0042,Separator,Operational,137.5,8.8,121.0
EQ-0043,Heat Exchanger,Operational,160.5,39.1,217.6
EQ-0044,Pump,Operational,46.7,103.2,350.4
EQ-0045,Pump,Operational,72.3,112.1,250.0
EQ-0046,Heat Exchanger,Error,96.9,12.7,266.5
EQ-0047,Pump,Operational,78.3,102.3,486.2
EQ-0048,Heat Exchanger,Operational,117.8,24.5,341.5
EQ-0049,Pump,Operational,66.8,106.6,477.7
EQ-0050,Reactor,Operational,225.6,13.5,119.6
EQ-0051,Separator,Operational,78.9,12.6,215.2
EQ-0052,Separator,Operational,91.6,10.1,219.9
EQ-0053,Heat Exchanger,Operational,196.8,24.6,246.7
EQ-0054,Separator,Offline,145.6,14.0,159.4
EQ-0055,Heat Exchanger,Operational,128.3,36.5,385.0
EQ-0056,Heat Exchanger,Operational,108.8,15.2,217.2
EQ-0057,Reactor,Operational,195.3,37.1,66.1
EQ-0058,Reactor,Operational,264.0,28.9,67.7
EQ-0059,Heat Exchanger,Operational,180.6,20.4,350.9
EQ-0060,Reactor,Operational,171.8,25.8,63.9
EQ-0061,Separator,Operational,95.9,5.6,176.8
EQ-0062,Heat Exchanger,Operational,205.0,38.0,356.1
EQ-0063,Pump,Operational,75.6,62.1,218.5
EQ-0064,Reactor,Maintenance,207.0,44.9,66.6
EQ-0065,Reactor,Operational,225.5,19.7,59.8
EQ-0066,Reactor,Maintenance,321.9,35.7,87.4
EQ-0067,Reactor,Operational,258.6,12.4,124.3
EQ-0068,Reactor,Operational,189.0,44.0,100.2
EQ-0069,Separator,Operational,113.3,13.1,285.7
EQ-0070,Reactor,Error,229.3,20.1,89.1
EQ-0071,Separator,Operational,112.0,18.8,184.3
EQ-0072,Pump,Operational,49.3,83.5,402.4
EQ-0073,Separator,Operational,85.3,17.3,262.5
EQ-0074,Heat Exchanger,Operational,186.9,39.8,171.7
EQ-0075,Reactor,Operational,301.3,14.2,118.2
EQ-0076,Separator,Operational,137.5,13.7,238.5
EQ-0077,Heat Exchanger,Error,111.0,37.4,269.1
EQ-0078,Separator,Operational,61.5,19.4,181.1
EQ-0079,Heat Exchanger,Operational,175.4,31.4,335.4
EQ-0080,Reactor,Operational,184.6,22.9,53.4
EQ-0081,Pump,Operational,47.3,114.7,223.6
EQ-0082,Separator,Operational,57.0,5.8,263.3
EQ-0083,Reactor,Operational,215.4,46.3,127.2
EQ-0084,Separator,Operational,96.6,7.7,126.1
EQ-0085,Heat Exchanger,Error,230.8,10.5,375.0
EQ-0086,Heat Exchanger,Operational,204.8,27.7,292.9
EQ-0087,Reactor,Operational,316.0,43.2,78.4
EQ-0088,Pump,Operational,76.9,133.8,319.1
EQ-0089,Separator,Operational,145.0,13.2,118.6
EQ-0090,Heat Exchanger,Operational,219.9,35.0,391.3
EQ-0091,Heat Exchanger,Operational,129.6,37.2,134.4
EQ-0092,Heat Exchanger,Operational,138.2,10.2,393.3
EQ-0093,Separator,Operational,85.1,8.1,253.0
EQ-0094,Pump,Operational,53.0,143.2,208.5
EQ-0095,Pump,Operational,72.9,146.7,438.6
EQ-0096,Reactor,Operational,342.1,20.7,106.4
EQ-0097,Reactor,Operational,285.4,12.6,126.8
EQ-0098,Separator,Operational,135.6,15.9,184.4
EQ-0099,Pump,Operational,70.6,109.6,316.5
EQ-0100,Separator,Maintenance,143.1,7.9,226.0
EQ-0101,Reactor,Operational,175.6,32.5,149.8
EQ-0102,Pump,Operational,61.7,83.1,480.7
EQ-0103,Separator,Operational,149.8,15.7,228.5
EQ-0104,Separator,Maintenance,73.4,5.9,137.0
EQ-0105,Reactor,Operational,200.9,31.4,90.2
EQ-0106,Separator,Operational,64.2,13.3,245.6
EQ-0107,Separator,Maintenance,86.1,7.7,283.0
EQ-0108,Separator,Operational,123.3,7.2,106.2
EQ-0109,Pump,Operational,78.9,52.2,231.5
EQ-0110,Reactor,Operational,340.1,10.6,73.5
EQ-0111,Separator,Operational,57.1,15.9,248.7
EQ-0112,Pump,Offline,40.1,119.3,417.9
EQ-0113,Separator,Operational,80.9,9.4,237.5
EQ-0114,Separator,Operational,92.8,7.2,150.3
EQ-0115,Separator,Maintenance,56.2,12.8,227.8
EQ-0116,Reactor,Operational,152.9,38.7,123.2
EQ-0117,Pump,Operational,61.1,98.7,313.1
EQ-0118,Separator,Operational,93.9,13.9,162.6
EQ-0119,Pump,Operational,34.5,75.5,262.5
EQ-0120,Separator,Operational,94.9,6.6,256.2
EQ-0121,Separator,Error,98.8,8.6,298.7
EQ-0122,Reactor,Operational,238.9,33.2,119.1
EQ-0123,Separator,Operational,139.6,19.1,161.7
EQ-0124,Separator,Error,148.5,15.3,139.2
EQ-0125,Pump,Operational,69.5,116.8,399.6
EQ-0126,Heat Exchanger,Maintenance,194.8,29.7,210.4
EQ-0127,Heat Exchanger,Operational,83.4,31.1,281.8
EQ-0128,Pump,Operational,48.4,115.6,466.4
EQ-0129,Heat Exchanger,Operational,122.7,13.7,268.9
EQ-0130,Separator,Operational,88.8,8.2,136.2
EQ-0131,Heat Exchanger,Operational,145.6,33.8,187.3
EQ-0132,Reactor,Operational,276.9,23.6,104.0
EQ-0133,Pump,Operational,25.2,58.1,328.9
EQ-0134,Separator,Operational,96.8,14.6,129.4
EQ-0135,Heat Exchanger,Operational,158.5,14.8,260.1
EQ-0136,Reactor,Operational,345.8,31.0,113.8
EQ-0137,Heat Exchanger,Operational,201.3,16.9,286.9
EQ-0138,Separator,Operational,134.3,14.0,176.3
EQ-0139,Separator,Error,56.3,16.2,297.5
EQ-0140,Separator,Operational,69.1,14.2,167.6
EQ-0141,Reactor,Operational,305.4,37.8,64.6
EQ-0142,Separator,Operational,76.5,5.5,114.9
EQ-0143,Pump,Operational,78.4,85.4,341.0
EQ-0144,Separator,Offline,68.2,10.1,238.4
EQ-0145,Separator,Maintenance,115.9,5.6,236.9
EQ-0146,Pump,Operational,59.3,143.4,319.7
EQ-0147,Pump,Operational,20.7,134.8,256.7
EQ-0148,Separator,Operational,112.0,13.6,142.8
EQ-0149,Separator,Operational,88.8,5.9,188.1
EQ-0150,Reactor,Operational,238.0,50.0,140.4
EQ-0151,Heat Exchanger,Maintenance,90.8,38.6,297.5
EQ-0152,Separator,Operational,95.9,8.8,125.5
EQ-0153,Pump,Operational,27.8,57.8,290.8
EQ-0154,Heat Exchanger,Operational,235.8,19.9,351.4
EQ-0155,Separator,Operational,149.9,15.0,241.7
EQ-0156,Pump,Operational,62.9,86.2,418.3
EQ-0157,Reactor,Operational,208.5,47.8,79.7
EQ-0158,Pump,Offline,51.7,112.6,299.3
EQ-0159,Reactor,Operational,268.5,33.8,137.8
EQ-0160,Reactor,Error,264.2,27.1,119.1
EQ-0161,Reactor,Operational,166.0,44.3,97.8
EQ-0162,Pump,Operational,26.0,137.7,226.6
EQ-0163,Pump,Operational,75.3,102.6,456.7
EQ-0164,Heat Exchanger,Error,189.9,28.5,337.6
EQ-0165,Pump,Operational,31.8,126.3,342.9
EQ-0166,Reactor,Offline,247.5,12.7,124.1
EQ-0167,Heat Exchanger,Operational,238.1,19.5,257.5
EQ-0168,Separator,Operational,75.5,15.8,217.9
EQ-0169,Heat Exchanger,Operational,145.8,29.3,153.9
EQ-0170,Heat Exchanger,Operational,84.8,29.0,121.3
EQ-0171,Separator,Operational,103.9,15.9,292.0
EQ-0172,Heat Exchanger,Operational,121.9,39.2,100.3
EQ-0173,Reactor,Operational,286.1,32.2,93.8
EQ-0174,Reactor,Operational,160.9,46.2,73.7
EQ-0175,Pump,Operational,57.5,84.2,433.5
EQ-0176,Separator,Operational,127.8,12.7,199.5
EQ-0177,Pump,Operational,50.5,131.8,311.4
EQ-0178,Separator,Operational,118.7,13.7,131.6
EQ-0179,Separator,Operational,120.9,10.5,124.3
EQ-0180,Separator,Operational,51.2,16.0,282.9
EQ-0181,Pump,Operational,51.7,75.7,461.9
EQ-0182,Separator,Operational,132.4,7.5,141.6
EQ-0183,Pump,Operational,47.4,144.5,372.9
EQ-0184,Pump,Offline,66.7,110.2,490.0
EQ-0185,Reactor,Operational,156.8,41.3,105.6
EQ-0186,Reactor,Operational,268.6,14.4,133.6
EQ-0187,Pump,Operational,22.2,75.5,488.6
EQ-0188,Pump,Operational,25.2,117.1,479.2
EQ-0189,Reactor,Operational,272.2,40.6,110.6
EQ-0190,Pump,Operational,27.3,93.0,358.4
EQ-0191,Reactor,Operational,237.9,35.0,145.0
EQ-0192,Heat Exchanger,Operational,206.2,17.5,359.0
EQ-0193,Reactor,Operational,173.6,32.1,103.5
EQ-0194,Separator,Error,52.2,10.1,286.8
EQ-0195,Pump,Operational,28.7,79.5,231.2
EQ-0196,Reactor,Operational,221.7,49.7,74.6
EQ-0197,Separator,Operational,91.0,12.8,281.0
EQ-0198,Reactor,Operational,273.3,10.5,120.9
EQ-0199,Separator,Operational,52.6,10.0,175.4
EQ-0200,Separator,Operational,119.6,19.1,175.1
EQ-0201,Reactor,Maintenance,339.7,44.2,72.0
EQ-0202,Separator,Operational,80.9,10.4,233.8
EQ-0203,Reactor,Operational,246.7,13.7,82.0
EQ-0204,Pump,Operational,73.4,63.1,243.4
EQ-0205,Separator,Maintenance,69.9,12.9,258.2
EQ-0206,Reactor,Operational,158.3,34.4,103.1
EQ-0207,Pump,Operational,35.7,59.8,345.6
EQ-0208,Reactor,Maintenance,265.6,34.2,100.2
EQ-0209,Heat Exchanger,Operational,139.2,19.8,393.0
EQ-0210,Reactor,Operational,255.4,46.3,103.2
EQ-0211,Separator,Operational,104.6,17.6,132.0
EQ-0212,Heat Exchanger,Operational,240.2,10.7,237.1
EQ-0213,Separator,Operational,134.9,7.7,288.9
EQ-0214,Heat Exchanger,Error,81.3,20.1,104.8
EQ-0215,Reactor,Operational,218.5,47.7,126.3
EQ-0216,Separator,Error,134.7,11.5,293.7
EQ-0217,Heat Exchanger,Operational,220.4,34.7,158.1
EQ-0218,Reactor,Operational,201.0,28.4,92.7
EQ-0219,Separator,Operational,116.2,17.2,262.9
EQ-0220,Reactor,Operational,290.1,13.3,120.6
EQ-0221,Heat Exchanger,Operational,216.9,38.8,195.0
EQ-0222,Separator,Operational,66.2,10.9,160.8
EQ-0223,Reactor,Operational,268.4,34.5,116.5
EQ-0224,Reactor,Operational,336.0,24.2,132.9
EQ-0225,Reactor,Operational,158.7,42.4,88.2
EQ-0226,Separator,Operational,64.9,14.9,270.1
EQ-0227,Separator,Operational,107.0,13.7,165.3
EQ-0228,Separator,Operational,84.8,8.3,176.5
EQ-0229,Reactor,Maintenance,312.2,25.9,97.3
EQ-0230,Pump,Operational,21.9,93.3,365.5
EQ-0231,Separator,Operational,78.8,11.7,134.6
EQ-0232,Reactor,Operational,244.1,12.5,86.1
EQ-0233,Separator,Operational,62.1,7.5,154.2
EQ-0234,Pump,Operational,30.2,91.2,239.1
EQ-0235,Heat Exchanger,Offline,116.0,38.4,269.7
EQ-0236,Separator,Operational,103.4,7.4,286.8
EQ-0237,Reactor,Operational,245.4,23.0,67.6
EQ-0238,Reactor,Operational,260.2,24.6,79.2
EQ-0239,Reactor,Operational,309.1,33.1,122.1
EQ-0240,Reactor,Operational,158.8,49.1,94.0
EQ-0241,Separator,Operational,141.4,19.5,177.7
EQ-0242,Reactor,Operational,172.2,33.7,80.9
EQ-0243,Separator,Maintenance,55.7,15.4,142.7
EQ-0244,Heat Exchanger,Maintenance,231.5,19.4,171.4
EQ-0245,Heat Exchanger,Operational,233.2,19.9,347.2
EQ-0246,Pump,Operational,41.4,81.0,477.0
EQ-0247,Heat Exchanger,Operational,147.1,33.3,280.2
EQ-0248,Reactor,Operational,265.3,20.0,78.2
EQ-0249,Heat Exchanger,Operational,160.1,32.2,250.6
EQ-0250,Separator,Operational,134.8,9.2,131.2
EQ-0251,Separator,Operational,94.8,12.9,260.6
EQ-0252,Pump,Operational,76.0,137.8,217.6
EQ-0253,Reactor,Error,237.4,47.7,111.5
EQ-0254,Reactor,Operational,290.6,26.8,53.3
EQ-0255,Separator,Offline,99.4,16.8,135.6
EQ-0256,Separator,Operational,109.3,11.4,121.9
EQ-0257,Reactor,Operational,305.5,48.4,75.0
EQ-0258,Reactor,Operational,164.4,40.1,130.6
EQ-0259,Heat Exchanger,Operational,169.1,16.8,281.3
EQ-0260,Reactor,Operational,219.6,41.7,93.2
EQ-0261,Reactor,Operational,188.9,13.5,133.2
EQ-0262,Heat Exchanger,Operational,141.7,11.3,334.2
EQ-0263,Reactor,Operational,276.8,24.3,54.9
EQ-0264,Reactor,Operational,177.8,34.3,65.5
EQ-0265,Separator,Error,113.8,17.3,185.6
EQ-0266,Reactor,Operational,272.4,26.8,55.8
EQ-0267,Reactor,Operational,342.3,33.4,98.2
EQ-0268,Pump,Operational,65.6,139.5,410.0
EQ-0269,Reactor,Operational,335.6,20.1,71.9
EQ-0270,Separator,Operational,106.9,15.3,275.3
EQ-0271,Separator,Operational,72.5,16.9,149.9
EQ-0272,Reactor,Operational,324.2,24.2,64.5
EQ-0273,Reactor,Operational,265.6,48.2,109.4
EQ-0274,Heat Exchanger,Offline,203.1,38.7,388.7
EQ-0275,Reactor,Operational,304.1,34.2,86.2
EQ-0276,Separator,Operational,138.9,12.6,113.2
EQ-0277,Reactor,Operational,342.0,33.6,92.1
EQ-0278,Pump,Operational,27.9,148.5,320.7
EQ-0279,Reactor,Operational,209.6,45.9,139.0
EQ-0280,Separator,Operational,99.0,9.8,277.0
EQ-0281,Reactor,Operational,162.3,21.5,98.8
EQ-0282,Separator,Error,52.4,9.2,212.0
EQ-0283,Separator,Operational,60.2,7.6,286.6
EQ-0284,Separator,Operational,64.1,12.3,119.9
EQ-0285,Separator,Operational,147.1,18.5,103.9
EQ-0286,Reactor,Operational,281.3,33.5,146.0
EQ-0287,Pump,Operational,51.7,68.7,477.9
EQ-0288,Reactor,Operational,270.2,18.3,99.6
EQ-0289,Separator,Operational,50.4,19.3,138.4
EQ-0290,Heat Exchanger,Operational,245.8,12.4,115.4
EQ-0291,Separator,Operational,144.1,12.7,266.8
EQ-0292,Reactor,Operational,243.8,48.3,68.7
EQ-0293,Heat Exchanger,Operational,234.6,26.8,229.3
EQ-0294,Separator,Operational,92.7,7.9,242.0
EQ-0295,Reactor,Operational,177.1,25.3,102.7
EQ-0296,Separator,Operational,91.4,12.9,102.3
EQ-0297,Separator,Operational,104.3,11.4,137.0
EQ-0298,Pump,Operational,52.8,72.0,289.2
EQ-0299,Pump,Operational,28.9,68.0,390.1
EQ-0300,Separator,Operational,71.8,5.9,281.5
EQ-0301,Separator,Operational,126.5,6.5,201.0
EQ-0302,Heat Exchanger,Offline,211.3,19.6,153.4
EQ-0303,Pump,Operational,71.0,99.3,238.5
EQ-0304,Separator,Operational,121.8,8.0,273.6
EQ-0305,Separator,Operational,74.8,14.6,174.2
EQ-0306,Heat Exchanger,Operational,166.9,20.9,320.5
EQ-0307,Separator,Error,58.3,8.5,277.4
EQ-0308,Reactor,Operational,331.6,37.6,129.6
EQ-0309,Separator,Error,71.3,5.4,102.4
EQ-0310,Separator,Error,143.0,12.4,273.9
EQ-0311,Pump,Operational,63.7,142.9,396.0
EQ-0312,Pump,Offline,28.1,94.1,391.6
EQ-0313,Reactor,Operational,220.5,20.9,104.3
EQ-0314,Pump,Operational,64.7,147.9,327.8
EQ-0315,Separator,Operational,84.4,5.1,294.0
EQ-0316,Pump,Maintenance,77.8,141.0,294.1
EQ-0317,Separator,Operational,147.2,18.2,276.2
EQ-0318,Reactor,Operational,335.0,16.5,133.1
EQ-0319,Pump,Operational,62.2,108.3,280.5
EQ-0320,Pump,Operational,76.4,103.6,360.6
EQ-0321,Heat Exchanger,Operational,185.7,21.3,298.5
EQ-0322,Pump,Operational,72.6,52.6,242.0
EQ-0323,Separator,Operational,75.7,19.5,101.8
EQ-0324,Separator,Operational,73.9,7.3,129.1
EQ-0325,Heat Exchanger,Operational,193.3,29.7,255.8
EQ-0326,Reactor,Operational,260.1,20.6,116.0
EQ-0327,Separator,Operational,100.0,8.4,282.1
EQ-0328,Reactor,Operational,335.3,47.9,54.4
EQ-0329,Reactor,Operational,232.6,44.2,115.8
